laureate_id,prize_name,prize_country,prize_founding_year,year,session,author,author_country,author_continent,book_title,publisher,notes,attribution_type,decade
L0577,Akutagawa Prize,Japan,1935,1973,H2,Kuninobu Noro,Japan,Asia,Kusa no Tsurugi (草のつるぎ),Bungakukai,Co-laureate,Co-laureate,1970
L0578,Akutagawa Prize,Japan,1935,1973,H2,Atsushi Mori,Japan,Asia,Gassan (月山),Kikan Geijutsu (季刊芸術),Co-laureate,Co-laureate,1970
L0579,Akutagawa Prize,Japan,1935,1974,H1,,,,,,No prize awarded,No prize,1970
L0580,Akutagawa Prize,Japan,1935,1974,H2,Keizō Hino,Japan,Asia,Ano Yūhi (あの夕陽),Shinchō,Co-laureate,Co-laureate,1970
L0581,Akutagawa Prize,Japan,1935,1974,H2,Hiro Sakata,Japan,Asia,Tsuchi no Utsuwa (土の器),Bungakukai,Co-laureate,Co-laureate,1970
L0582,Akutagawa Prize,Japan,1935,1975,H1,Kyōko Hayashi,Japan,Asia,"Ritual of Death (祭りの場, Matsuri no Ba)",Gunzō,,Standard,1970
L0583,Akutagawa Prize,Japan,1935,1975,H2,Kenji Nakagami,Japan,Asia,"The Cape (岬, Misaki)",Bungakukai,Co-laureate,Co-laureate,1970
L0584,Akutagawa Prize,Japan,1935,1975,H2,Kazuo Okamatsu,Japan,Asia,Shikanoshima (志賀島),Bungakukai,Co-laureate,Co-laureate,1970
L0585,Akutagawa Prize,Japan,1935,1976,H1,Ryū Murakami,Japan,Asia,"Almost Transparent Blue (限りなく透明に近いブルー, Kagirinaku Tōmei ni Chikai Burū)",Gunzō,,Standard,1970
L0586,Akutagawa Prize,Japan,1935,1976,H2,,,,,,No prize awarded,No prize,1970
L0587,Akutagawa Prize,Japan,1935,1977,H1,Masahiro Mita,Japan,Asia,Bokutte Nani (僕って何),Bungei,Co-laureate,Co-laureate,1970
L0588,Akutagawa Prize,Japan,1935,1977,H1,Masuo Ikeda,Japan,Asia,Ēgekai ni Sasagu (エーゲ海に捧ぐ),Shōsetsu Yasei Jidai [ja],Co-laureate,Co-laureate,1970
