prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,1971,H2,Mineo Higashi,Japan,"Child of Okinawa (オキナワの少年, Okinawa no Shōnen)",Bungakukai,
Akutagawa,Japan,1972,H1,Hiroshi Hatayama,Japan,Itsuka Kiteki o Narashite (いつか汽笛を鳴らして),Bungakukai,
Akutagawa,Japan,1972,H1,Akio Miyahara,Japan,Dareka ga Sawatta (誰かが触った),Bungei,
Akutagawa,Japan,1972,H2,Michiko Yamamoto,Japan,"Betty-san (ベティさんの庭, Betei-san no Niwa)",Shinchō,
Akutagawa,Japan,1972,H2,Shizuko Gō,Japan,"Requiem (れくいえむ, Rekuiemu)",Bungakukai,
Akutagawa,Japan,1973,H1,Taku Miki,Japan,Hiwa (鶸),Subaru [ja],
Akutagawa,Japan,1973,H2,Kuninobu Noro,Japan,Kusa no Tsurugi (草のつるぎ),Bungakukai,
Akutagawa,Japan,1973,H2,Atsushi Mori,Japan,Gassan (月山),Kikan Geijutsu (季刊芸術),
Akutagawa,Japan,1974,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1974,H2,Keizō Hino,Japan,Ano Yūhi (あの夕陽),Shinchō,
Akutagawa,Japan,1974,H2,Hiro Sakata,Japan,Tsuchi no Utsuwa (土の器),Bungakukai,
Akutagawa,Japan,1975,H1,Kyōko Hayashi,Japan,"Ritual of Death (祭りの場, Matsuri no Ba)",Gunzō,
Akutagawa,Japan,1975,H2,Kenji Nakagami,Japan,"The Cape (岬, Misaki)",Bungakukai,
Akutagawa,Japan,1975,H2,Kazuo Okamatsu,Japan,Shikanoshima (志賀島),Bungakukai,
Akutagawa,Japan,1976,H1,Ryū Murakami,Japan,"Almost Transparent Blue (限りなく透明に近いブルー, Kagirinaku Tōmei ni Chikai Burū)",Gunzō,
Akutagawa,Japan,1976,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1977,H1,Masahiro Mita,Japan,Bokutte Nani (僕って何),Bungei,
Akutagawa,Japan,1977,H1,Masuo Ikeda,Japan,Ēgekai ni Sasagu (エーゲ海に捧ぐ),Shōsetsu Yasei Jidai [ja],
Akutagawa,Japan,1977,H2,Teru Miyamoto,Japan,"River of Fireflies (螢川, Hotarugawa)",Bungei Tenbō (文芸展望),
Akutagawa,Japan,1977,H2,Shūzō Taki,Japan,Kaya no Ki Matsuri (榧の木祭り),Shinchō,
Akutagawa,Japan,1978,H1,Kiichirō Takahashi,Japan,Nobuyo (伸予),Bungei,
Akutagawa,Japan,1978,H1,Michitsuna Takahashi,Japan,Kugatsu no Sora (九月の空),Bungei,
Akutagawa,Japan,1978,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1979,H1,Yoshiko Shigekane,Japan,"The Smoke in the Mountain Valley (やまあいの煙, Yamaai no Kemuri)",Bungakukai,
