prize,country,year,session,author,author_country,book_title,publisher,notes
Naoki,Japan,1964,H2,Michiko Nagai,Japan,Enkan (炎環; lit. Ring of Fire) Chanshaoshu no Hanashi (張少子の話; lit. The Story of Zhang Shaozi),,Co-laureate
Naoki,Japan,1964,H2,Atsuko Anzai,Japan,Enkan (炎環; lit. Ring of Fire) Chanshaoshu no Hanashi (張少子の話; lit. The Story of Zhang Shaozi),,Co-laureate
Naoki,Japan,1965,H1,Shigeo Fujii,Japan,Niji (虹; lit. Rainbow),,
Naoki,Japan,1965,H2,Yūkichi Shinbashi,Japan,Yaochō (八百長; lit. Rigged Game) Toriko Shū-ki (虜愁記; lit. Sad Tale of a Prisoner),,Co-laureate
Naoki,Japan,1965,H2,Jihei Chiba,Japan,Yaochō (八百長; lit. Rigged Game) Toriko Shū-ki (虜愁記; lit. Sad Tale of a Prisoner),,Co-laureate
Naoki,Japan,1966,H1,Masaaki Tachihara,Japan,Shiroi Keshi (白い罌粟; lit. White Poppy),,
Naoki,Japan,1966,H2,Hiroyuki Itsuki,Japan,Aozameta Uma wo Miyo (蒼ざめた馬を見よ; lit. See the Pale Horse),,
Naoki,Japan,1967,H1,Jirō Ikushima,Japan,Oitsumeru (追いつめる; lit. Cornered),,
Naoki,Japan,1967,H2,Akiyuki NosakaTooru Miyoshi,Japan,"American Hijiki (アメリカひじき, Amerika Hijiki), Grave of the Fireflies (火垂るの墓, Hotaru no Haka) Hijiri Shōjo (聖少女; lit. Holy Girl)",,
Naoki,Japan,1968,H1,,Japan,,,No prize awarded
Naoki,Japan,1968,H2,Shunshin Chin,Japan,Seigyoku Shishi Kōro (青玉獅子香炉; lit. Sapphire Shishi Incense Burner) Kyōjin no Ori (僑人の檻),,Co-laureate
Naoki,Japan,1968,H2,Mitsugu Saotome,Japan,Seigyoku Shishi Kōro (青玉獅子香炉; lit. Sapphire Shishi Incense Burner) Kyōjin no Ori (僑人の檻),,Co-laureate
Naoki,Japan,1969,H1,Aiko Satō,Japan,Tatakai Sunde Hi ga Kurete (戦いすんで日が暮れて; lit. The Day of Battle's End Draws to a Close),,
Naoki,Japan,1969,H2,,Japan,,,No prize awarded
Naoki,Japan,1970,H1,Junichi WatanabeYūki Shōji,Japan,Hikari to Kage (光と影; lit. Light and Shadow) Gunki Hatameku Shita ni (軍旗はためく下に; lit. Beneath the Fluttering Battle Flag),,
Naoki,Japan,1970,H2,Jō Toyoda,Japan,Nagaragawa (長良川; lit. Nagara River),,
Naoki,Japan,1971,H1,,Japan,,,No prize awarded
Naoki,Japan,1971,H2,,Japan,,,No prize awarded
